Message,Severity
Small scratch on the arm,Low
Minor cuts from a motorcycle fall,Low
The victim is awake with small bruises,Low
Light injury after a small accident,Low
The person has a small wound on the hand,Low
The victim is walking and talking normally,Low
Small bruise on the leg,Low
Minor pain after car hit,Low
Very small injury no bleeding,Low
The victim looks okay just shaken,Low
Minor injury on the elbow,Low
Small wound not serious,Low
Slight pain in the shoulder,Low
The person can stand without help,Low
Small scratch on the face,Low
Small injury after falling from bike,Low
No serious injury just small cuts,Low
Victim is stable with minor injury,Low
Light bruises only,Low
Small swelling on ankle,Low
Minor hand injury,Low
Slight injury after bumping into car,Low
Small cut not bleeding much,Low
Minor injury victim conscious,Low
Light pain no visible injury,Low
Small injury victim okay,Low
Small wound needs cleaning,Low
Small bruise on knee,Low
Victim alert and okay,Low
No serious damage small injury only,Low
Small pain after accident,Low
Victim fine just scared,Low
Minor scratch on arm,Low
Victim sitting comfortably,Low
Light swelling on arm,Low
Very small accident injury,Low
Minor wound on finger,Low
Slight injury victim talking,Low
Small accident no serious injury,Low
Victim has mild pain only,Low
Small injury on foot,Low
Victim conscious small injury,Low
Small bruise on shoulder,Low
Minor injury victim stable,Low
Light scratch on skin,Low
Victim okay just nervous,Low
Minor injury no bleeding,Low
Small surface injury,Low
Very light injury victim okay,Low
Victim stable with small cut,Low
Broken arm after accident,Medium
Victim cannot move leg properly,Medium
Heavy swelling on the arm,Medium
Victim complaining of strong pain,Medium
Possible fracture on the leg,Medium
Victim dizzy but conscious,Medium
Arm looks dislocated,Medium
Victim unable to stand,Medium
Victim crying in pain,Medium
Deep cut on the leg,Medium
Victim needs medical attention,Medium
Serious pain in the chest,Medium
Large wound on arm,Medium
Victim cannot walk,Medium
Victim shaking and in pain,Medium
Head injury but conscious,Medium
Victim bleeding slowly,Medium
Pain in neck after accident,Medium
Victim weak and dizzy,Medium
Suspected broken bone,Medium
Victim injured in motorcycle crash,Medium
Large swelling on knee,Medium
Victim breathing normally but injured,Medium
Deep wound on the shoulder,Medium
Victim lying down in pain,Medium
Victim unable to lift arm,Medium
Moderate bleeding,Medium
Victim weak and needs help,Medium
Victim has severe leg pain,Medium
Victim injured needs transport,Medium
Victim injured but conscious,Medium
Victim hit by car and injured,Medium
Victim needs hospital care,Medium
Victim cannot move arm,Medium
Victim has deep cut,Medium
Victim injured in car crash,Medium
Victim struggling to walk,Medium
Victim dizzy after crash,Medium
Victim has head wound,Medium
Victim has serious injury,Medium
Victim in pain and bleeding lightly,Medium
Victim injured motorcycle crash,Medium
Victim weak but awake,Medium
Victim injured and needs care,Medium
Victim moderate injuries,Medium
Victim needs urgent help,Medium
Victim injured cannot move properly,Medium
Victim has deep wound,Medium
Victim injured badly but awake,Medium
Victim has large injury,Medium
Victim bleeding heavily,Critical
Serious car accident victim injured badly,Critical
Victim unconscious but breathing,Critical
Severe bleeding from leg,Critical
Head injury heavy bleeding,Critical
Victim trapped in vehicle,Critical
Victim losing blood fast,Critical
Victim severely injured,Critical
Motorcycle crash severe injury,Critical
Victim cannot speak properly,Critical
Severe chest injury,Critical
Victim very weak and bleeding,Critical
Victim fainting repeatedly,Critical
Serious accident victim critical,Critical
Victim badly injured needs ambulance,Critical
Victim unconscious after crash,Critical
Victim bleeding from head,Critical
Victim seriously hurt,Critical
Major injuries after crash,Critical
Victim barely responding,Critical
Victim in very bad condition,Critical
Serious motorcycle accident injuries,Critical
Victim bleeding continuously,Critical
Victim cannot stay awake,Critical
Victim very weak and injured,Critical
Victim injured and unconscious briefly,Critical
Heavy bleeding arm injury,Critical
Serious head injury victim awake,Critical
Victim barely conscious,Critical
Victim bleeding a lot,Critical
Victim injured and shaking badly,Critical
Victim breathing fast and weak,Critical
Victim severely hurt after crash,Critical
Victim needs ambulance urgently,Critical
Victim seriously injured bleeding,Critical
Victim fainting after accident,Critical
Victim badly hurt motorcycle accident,Critical
Victim bleeding and weak,Critical
Serious injury cannot move,Critical
Victim badly injured lying on road,Critical
Victim breathing but unconscious sometimes,Critical
Victim bleeding severely,Critical
Serious crash victim injured badly,Critical
Victim in severe pain bleeding,Critical
Victim badly hurt and weak,Critical
Victim head injury bleeding,Critical
Victim injured unconscious briefly,Critical
Victim severe injury urgent help,Critical
Victim bleeding badly from arm,Critical
Victim severe accident injuries,Critical
Victim not breathing,Critical
Victim unconscious not responding,Critical
Severe crash victim not moving,Critical
Victim unconscious and bleeding heavily,Critical
Victim no pulse detected,Critical
Victim dying needs urgent help,Critical
Victim hit by truck unconscious,Critical
Victim not breathing after crash,Critical
Victim completely unconscious,Critical
Victim barely alive,Critical
Major accident victim critical condition,Critical
Victim unconscious severe bleeding,Critical
Victim collapsed not breathing,Critical
Victim in life threatening condition,Critical
Victim critical after accident,Critical
Victim cannot breathe properly,Critical
Victim unconscious heavy bleeding,Critical
Victim unconscious trapped in car,Critical
Victim not responding at all,Critical
Victim near death condition,Critical
Victim severe trauma unconscious,Critical
Victim barely breathing,Critical
Victim not moving or breathing,Critical
Victim unconscious severe injuries,Critical
Victim extremely critical condition,Critical
Victim unconscious after truck crash,Critical
Victim severe trauma bleeding,Critical
Victim unconscious severe head injury,Critical
Victim life threatening injuries,Critical
Victim unconscious and dying,Critical
Victim unconscious very weak,Critical
Victim major trauma unconscious,Critical
Victim serious trauma not breathing,Critical
Victim unconscious emergency,Critical
Victim breathing very weak,Critical
Victim critical needs immediate help,Critical
Victim unconscious severe accident,Critical
Victim unconscious severe trauma,Critical
Victim almost dead,Critical
Victim unconscious bleeding heavily,Critical
Victim severe crash unconscious,Critical
Victim not breathing urgent,Critical
Victim dying after accident,Critical
Victim unconscious severe bleeding,Critical
Victim severe trauma no response,Critical
Victim unconscious major injuries,Critical
Victim extremely weak not breathing,Critical
Victim unconscious emergency situation,Critical
Victim life critical condition,Critical
Victim unconscious needs urgent rescue,Critical
person no dey breathe,Critical
man unconscious for road,Critical
serious accident victim no wake,Critical
truck jam bike man no move,Critical
victim faint no respond,Critical
person lie down no breathe,Critical
accident victim die almost,Critical
big accident victim unconscious,Critical
man collapse after accident,Critical
head injury person no talk,Critical
accident victim unconscious,Critical
serious crash victim not moving,Critical
person nearly die,Critical
big accident man unconscious,Critical
car jam bike person no respond,Critical
victim weak no breathe well,Critical
serious accident victim dying,Critical
victim no move no talk,Critical
heavy accident victim unconscious,Critical
person unconscious for express,Critical
victim breathing very small,Critical
serious accident person faint,Critical
big accident person not breathing,Critical
person lie down not moving,Critical
victim unconscious bleeding,Critical
person dey bleed well well,Critical
serious accident for lekki road,Critical
man bleeding badly,Critical
victim injured seriously,Critical
bus jam bike person injured,Critical
victim bleeding from head,Critical
serious accident urgent help,Critical
bike accident man bleeding,Critical
serious injury victim weak,Critical
person injured badly for road,Critical
accident victim weak and bleeding,Critical
victim injured serious,Critical
serious crash victim injured,Critical
accident for yaba man bleeding,Critical
person injured cannot stand,Critical
man badly injured after crash,Critical
serious injury need ambulance,Critical
victim badly injured urgent,Critical
heavy accident person bleeding,Critical
victim bleeding no stop,Critical
accident victim serious injury,Critical
serious bike accident injured,Critical
man injured serious condition,Critical
victim bleeding serious,Critical
heavy crash victim injured,Critical
leg break maybe,Medium
person no fit stand,Medium
victim injured leg pain,Medium
man injured after accident,Medium
accident victim leg pain,Medium
arm injury serious pain,Medium
person injured but awake,Medium
victim need hospital,Medium
accident victim injured,Critical
leg injury after accident,Medium
person injured cannot walk,Medium
victim weak but talking,Medium
accident victim pain serious,Medium
man injured needs help,Medium
person injured motorcycle crash,Medium
victim pain chest,Medium
man injured cannot move leg,Medium
victim injured needs treatment,Medium
bike accident leg injury,Medium
victim injured and crying,Medium
victim hit by car injured,Medium
person injured moderate,Medium
man injured after bike crash,Medium
victim pain after accident,Medium
accident victim injured awake,Medium
small accident nobody injured,Low
small injury only,Low
minor accident victim okay,Low
small scratch only,Low
victim fine after accident,Low
small bike fall injury,Low
small bruise only,Low
victim okay just scared,Low
small accident no problem,Low
light injury victim okay,Low
victim conscious small injury,Low
small pain only,Low
victim okay after crash,Low
minor injury nothing serious,Low
victim walking normally,Low
light accident small injury,Low
victim talking and okay,Low
small wound only,Low
accident victim stable,Low
minor bike accident injury,Low
victim okay need small treatment,Low
small injury victim stable,Low
light injury after accident,Low
victim fine just shock,Low
small accident victim okay,Low
